economy,time,Country,Time,DT.DOD.DECT.GN.ZS,FP.CPI.TOTL.ZG,GC.DOD.TOTL.GD.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SI.POV.GINI,SL.UEM.TOTL.ZS
PER,YR2008,Peru,2008,30.9320299079422,5.78587598206755,26.0763223472509,9.1265683014642,4778.52642172313,47.5,4.03
PER,YR2007,Peru,2007,34.1961375238097,1.77998644680372,28.5288183913942,8.5183877690955,4407.79121686416,50.0,4.08
PER,YR2006,Peru,2006,35.9534061055932,2.00225801248819,32.539457544846,7.5288990440594,4091.36268615581,50.3,4.17
PER,YR2005,Peru,2005,41.3727350377722,1.61630193862544,,6.28506032509601,3835.13219279722,50.4,4.87
PER,YR2004,Peru,2004,50.0708520347505,3.66247320092233,,4.95820320611745,3640.60299869744,49.9,4.71
PER,YR2003,Peru,2003,53.1443427021015,2.25937753363072,,4.16502313666112,3502.79165687646,53.1,4.15
PER,YR2002,Peru,2002,53.0849788812544,0.193135003853722,,5.45352893818767,3398.74991419297,53.6,4.84
PER,YR2001,Peru,2001,54.165461935894,1.97709878502053,,0.617892325624297,3261.6642505136,51.3,5.068
PER,YR2000,Peru,2000,57.0026235419152,3.75733833344474,,2.69437139806912,3286.27308475523,49.1,4.959
PER,YR1999,Peru,1999,59.5346640984021,3.46965996293019,,1.49491064308833,3250.37802318947,54.8,5.011
PER,YR1998,Peru,1998,56.044866866491,7.24782175213469,,-0.391537555833821,3258.29746206218,55.1,5.099
PER,YR1997,Peru,1997,52.5119573585364,8.56218948953653,,6.47682442079709,3331.15151093297,53.3,4.762
PER,YR1996,Peru,1996,54.1476991229528,11.5379424115177,,2.79897307912609,3186.90077024092,,4.929
PER,YR1995,Peru,1995,60.5129879783243,11.1287029707089,,7.41139504735119,3158.98338644792,,4.708
PER,YR1994,Peru,1994,61.6361055639642,23.7369050565046,55.4915347082036,12.3083661848445,2998.57693125514,44.0,4.491
PER,YR1993,Peru,1993,70.2752260339722,48.5799864468885,70.6160984544118,5.24357700773291,2723.2842310292,,4.795
PER,YR1992,Peru,1992,58.5177627414954,73.5282942442641,80.142729037233,-0.540509124723926,2640.31373880219,,5.068
PER,YR1991,Peru,1991,62.161319904505,409.530166622023,78.2167512063909,2.2192591027909,2709.27754515647,,4.926
PER,YR1990,Peru,1990,81.8468435049874,7481.66361124526,189.246285557642,-4.98256353646605,2706.92253156841,,
PER,YR1989,Peru,1989,89.7375845304335,3398.67901005332,,-12.3120414471296,2912.6643430804,,
PER,YR1988,Peru,1988,131.349943916633,667.019328585961,,-9.44127344629392,3397.01630742059,,
PER,YR1987,Peru,1987,50.7921921180285,85.8223062381846,,9.72614643050372,3837.26769850321,,
PER,YR1986,Peru,1986,73.8213873543152,77.9210255473595,,9.42596236073652,3578.0009133316,,
PER,YR1985,Peru,1985,91.5046874553848,163.399505243688,,2.06113206625895,3347.82743034644,45.6,
PER,YR1984,Peru,1984,74.6795749831435,110.208519562543,,3.60828653816966,3361.21738023781,,
PER,YR1983,Peru,1983,70.6338715218467,111.150635209157,,-10.408085798297,3325.45532400634,,
PER,YR1982,Peru,1982,52.1065088346831,64.4481585387929,,-0.2227234441863,3805.24470888803,,
PER,YR1981,Peru,1981,42.1716752144855,75.4332687576064,,5.55204181484046,3909.66676934412,,
PER,YR1980,Peru,1980,55.0688765457942,59.1450712444914,,5.94333539830841,3797.43621611508,,
PER,YR1979,Peru,1979,62.5172497229697,66.6944229664876,,4.09075057410003,3674.96184299482,,
PER,YR1978,Peru,1978,82.3905511647105,57.8487826251505,,-2.64250297882154,3619.69303247044,,
PER,YR1977,Peru,1977,65.685039732976,38.0540914196793,,0.349063699303812,3811.69775974603,,
PER,YR1976,Peru,1976,50.0988860203893,33.4832756634566,,1.44711099517411,3893.41831349783,,
PER,YR1975,Peru,1975,38.3172694554732,23.6187352963326,,4.30086316548426,3933.70255577203,,
PER,YR1974,Peru,1974,40.1629433062737,16.8916666665703,,9.38683491938303,3866.6634321787,,
PER,YR1973,Peru,1973,37.9754289089592,9.48905109503398,,6.27693475562022,3625.43301411272,,
PER,YR1972,Peru,1972,40.3706544753455,7.21972216770545,,3.47753512310473,3500.78314670801,,
PER,YR1971,Peru,1971,42.5491154050305,6.79063936495415,,4.59053992759885,3474.09968688628,,
PER,YR1970,Peru,1970,46.1246491330708,5.02523590072424,,3.36594600332614,3404.48746273535,,
PER,YR1969,Peru,1969,,6.23615806078061,,3.51445891251396,3377.29242666322,,
PER,YR1968,Peru,1968,,19.086618545438,,0.152237710931757,3355.06834981307,,
PER,YR1967,Peru,1967,,9.78360256063414,,3.85256440782895,3445.54689195427,,
PER,YR1966,Peru,1966,,8.84060374922209,,8.2389204457594,3413.00557819899,,
PER,YR1965,Peru,1965,,16.3899613894424,,5.62173344947736,3244.42752499768,,
PER,YR1964,Peru,1964,,9.79228486663484,,6.54786765047102,3161.27865870871,,
PER,YR1963,Peru,1963,,6.07014388428593,,4.32824981844591,3054.09341665986,,
PER,YR1962,Peru,1962,,6.64109326359749,,10.0352933342212,3013.56779249399,,
PER,YR1961,Peru,1961,,5.91670898836375,,7.34709633145569,2819.64448663957,,
PER,YR1960,Peru,1960,,8.6644591627191,,,2704.36949914585,,
COL,YR2023,Colombia,2023,54.9698144239845,11.7359044948689,71.3312731846403,0.712380031974334,6828.59753791113,53.9,9.591
COL,YR2022,Colombia,2022,55.2901604295775,10.1772313546166,70.2611600056829,7.32827729427979,6856.72590505374,54.8,10.541
COL,YR2021,Colombia,2021,54.5702530730857,3.49505757399448,80.4259616026375,10.8011981904878,6457.16921807086,55.1,13.898
COL,YR2020,Colombia,2020,58.195276425352,2.52663500084706,91.1566069420143,-7.18591413760859,5891.95523215403,53.5,15.983
COL,YR2019,Colombia,2019,44.0144816213322,3.52301932741447,72.703878581374,3.18685539245533,6439.96359812647,51.3,10.28
COL,YR2018,Colombia,2018,40.935302359277,3.24056932930569,71.6505702522092,2.56432428277704,6353.5464285392,50.4,9.36
COL,YR2017,Colombia,2017,41.1813299968956,4.31431325695011,66.7272478437669,1.35936086788746,6309.67745292518,49.7,9.086
COL,YR2016,Colombia,2016,43.2364464218603,7.51346024627675,66.9071609156014,2.08738250162794,6316.07067782542,50.6,8.922
COL,YR2015,Colombia,2015,39.1551312422504,4.9898311584953,53.2785874719769,2.95590137527523,6248.51490534512,51.0,8.572
COL,YR2014,Colombia,2014,28.2553484044421,2.89883787761738,47.9761695130311,4.49903000110972,6121.83982019825,52.5,8.799
COL,YR2013,Colombia,2013,25.1172990915029,2.01699224310383,67.1029119456429,5.13399351995672,5910.80592301166,52.6,9.246
COL,YR2012,Colombia,2012,22.2297739762115,3.16930188840055,65.227695883164,3.91263576716115,5675.75617978305,52.6,9.959
COL,YR2011,Colombia,2011,23.7443318388225,3.4150334477625,62.8601328222053,6.94789198173555,5517.1011086899,53.5,10.288
COL,YR2010,Colombia,2010,23.2994559987977,2.27200227892008,72.4526699261111,4.49465897070922,5214.24547620131,54.6,11.153
COL,YR2009,Colombia,2009,23.7976051164425,4.20251661216482,68.9990033374936,1.13964864548062,5046.97121757727,54.3,12.066
COL,YR2008,Colombia,2008,20.0914383123795,6.99688495554511,65.2450803056946,3.28344618616541,5048.57187245249,55.3,11.273
COL,YR2007,Colombia,2007,22.1755705052841,5.54438485815156,,6.73819469090975,4947.25260813108,,11.204
COL,YR2006,Colombia,2006,24.5225615573863,4.29342363628927,,6.71686869844402,4694.03442939175,,11.088
COL,YR2005,Colombia,2005,26.4288454610035,5.05101962689696,,4.82876110773741,4457.27537460443,53.9,11.062
COL,YR2004,Colombia,2004,33.8305465816031,5.90402005546502,,5.33302206759905,4311.91591255233,55.0,13.717
COL,YR2003,Colombia,2003,40.8305173251463,7.1297886294186,52.5354195230314,3.91827190322513,4154.17528523618,53.6,13.221
COL,YR2002,Colombia,2002,35.2321410584203,6.35150728778872,,2.50398046659659,4058.28493578738,56.0,14.481
COL,YR2001,Colombia,2001,38.2285357809693,7.96556090304834,,1.67789830787579,4020.50789754842,57.3,15.04
COL,YR2000,Colombia,2000,35.1307035253078,9.22534818585366,17.7090216802298,2.92486148176778,4016.80951748167,58.4,20.52
COL,YR1999,Colombia,1999,41.0313495533181,10.8736870857471,19.0653508704071,-4.20401524244947,3967.11339937681,58.5,20.06
COL,YR1998,Colombia,1998,34.5291474379304,18.6769799276672,5.40391549112143,0.569784088434517,4213.82800470051,,15.0
COL,YR1997,Colombia,1997,30.9377199355586,18.4700217119089,,3.43029367788374,4265.6935185646,,12.14
COL,YR1996,Colombia,1996,30.7144459884853,20.7975755127402,,2.05585471287195,4198.69126252708,56.8,11.81
COL,YR1995,Colombia,1995,27.8846116349691,20.8917930194849,,5.20243759278655,4189.72770913999,,8.72
COL,YR1994,Colombia,1994,27.6999659118892,22.8462417553045,,5.81466190724336,4059.32146113882,,8.25
COL,YR1993,Colombia,1993,29.8024890744946,22.4424828533275,,5.38540993901029,3912.6590835796,,7.8
COL,YR1992,Colombia,1992,31.2814134661587,27.0106266231361,,4.04492943933556,3787.5942918216,51.3,9.44
COL,YR1991,Colombia,1991,36.5740662733225,30.3878204854436,,2.00160759559029,3713.17727535576,51.3,10.12
COL,YR1990,Colombia,1990,38.233466133341,29.1520245976215,,4.28199833053058,3714.1849928328,,
COL,YR1989,Colombia,1989,45.8507368279778,25.8675480831988,,3.41409610966596,3636.07569199887,52.8,
COL,YR1988,Colombia,1988,45.9445011470375,28.1083969771704,,4.06417324490376,3588.96963573165,53.1,
COL,YR1987,Colombia,1987,50.1325001529614,23.302028364018,,5.36893214821323,3520.16261987219,,
COL,YR1986,Colombia,1986,46.945191744535,18.8424631612406,,5.82407613745866,3410.15965281641,,
COL,YR1985,Colombia,1985,43.5727445153469,24.090174368125,,3.1071061957296,3289.71209715409,,
COL,YR1984,Colombia,1984,33.4644447622084,16.1616171361426,,3.35068373940706,3260.28459182748,,
COL,YR1983,Colombia,1983,31.0263475775764,19.5973170624765,,1.57395603843689,3228.35593102948,,
COL,YR1982,Colombia,1982,27.6844229024393,24.7209882528585,,0.948420786604515,3253.88046917188,,
COL,YR1981,Colombia,1981,24.8589184140075,27.4537624347993,,2.27687274512178,3298.73218883264,,
COL,YR1980,Colombia,1980,21.5216486861157,26.5526531495356,,4.08735367550767,3300.51170195765,55.1,
COL,YR1979,Colombia,1979,21.9064964829768,24.1340757440455,,5.37911898820207,3244.08651685293,,
COL,YR1978,Colombia,1978,23.0627469063807,17.7631590853462,,8.4699008376688,3148.23886798572,,
COL,YR1977,Colombia,1977,27.3188399959923,33.802818357982,,4.15850545346419,2968.66258052749,,
COL,YR1976,Colombia,1976,27.5196077046655,19.8312249167931,,4.7283687345395,2914.01196628327,,
COL,YR1975,Colombia,1975,30.7960719717275,23.4375025650554,,2.32325528115796,2843.73101842111,,
COL,YR1974,Colombia,1974,28.848482294198,23.8709573656697,,5.74575718912141,2841.38134772396,,
COL,YR1973,Colombia,1973,32.9246665426703,22.5296486781843,,6.72295496919133,2748.14553426071,,
COL,YR1972,Colombia,1972,34.9872292339237,12.4444589907729,,7.66914754440097,2634.72068551099,,
COL,YR1971,Colombia,1971,34.4790470484511,11.9402616979216,,5.9607279462907,2504.49731055786,,
COL,YR1970,Colombia,1970,33.2661484043413,6.90862275848241,,6.20779696127698,2421.22502270787,,
COL,YR1969,Colombia,1969,,6.98166307955375,,6.10251730873333,2338.10714398443,,
COL,YR1968,Colombia,1968,,7.4475387831777,,5.93311799878289,2262.17424281179,,
COL,YR1967,Colombia,1967,,8.32819136425948,,4.13486416579858,2194.44365471957,,
COL,YR1966,Colombia,1966,,16.7281682748598,,5.23673586229452,2167.35670771429,,
COL,YR1965,Colombia,1965,,7.5906836693158,,3.60001138983772,2119.99498736563,,
COL,YR1964,Colombia,1964,,17.0724352164554,,6.16694132350723,2108.00878137941,,
COL,YR1963,Colombia,1963,,26.3554355250467,,3.28670755407101,2046.30756363644,,
COL,YR1962,Colombia,1962,,4.6970939506247,,5.41188961342047,2042.63527704771,,
COL,YR1961,Colombia,1961,,8.28319045648716,,5.08921698439107,1998.42316206119,,
COL,YR1960,Colombia,1960,,5.81407628204986,,,1961.2291441726,,
ARG,YR2023,Argentina,2023,39.9528949452964,133.488935594175,,-1.85578803046339,12993.0928872416,42.4,6.139
ARG,YR2022,Argentina,2022,40.0821942544545,72.430757531824,,6.02074537534855,13276.8232110189,40.7,6.805
ARG,YR2021,Argentina,2021,51.6176877458835,48.4093786255199,,10.4418119882506,12549.2811699342,42.4,8.736
ARG,YR2020,Argentina,2020,68.0983401439473,42.0150947376509,,-9.9004848136464,11393.0505957877,42.7,11.461
ARG,YR2019,Argentina,2019,65.2499452681964,53.5483043492339,,-2.00086100285785,12706.3978108968,43.3,9.843
ARG,YR2018,Argentina,2018,54.8960712180333,34.2772237131003,,-2.61739646282038,13058.3285449954,41.7,9.22
ARG,YR2017,Argentina,2017,36.0210140421607,,,2.81850297775918,13520.1129846159,41.4,8.347
ARG,YR2016,Argentina,2016,33.3125611167404,,,-2.08032784377811,13265.8860639123,42.3,8.088
ARG,YR2015,Argentina,2015,30.3597130322943,,,2.73115982828944,13679.6264980954,,7.577
ARG,YR2014,Argentina,2014,29.8319023900009,,,-2.51261532081394,13456.1319159151,41.8,7.268
ARG,YR2013,Argentina,2013,27.8097452222931,,,2.40532378079436,13946.0950832252,41.1,7.1
ARG,YR2012,Argentina,2012,26.2396878854826,,,-1.0264204544321,13754.4254235596,41.4,7.217
ARG,YR2011,Argentina,2011,27.7441780087921,,,6.00395169280579,14040.6189124444,42.7,7.18
ARG,YR2010,Argentina,2010,30.9491301873404,,,10.1253981561002,13387.1553748458,43.7,7.714
ARG,YR2009,Argentina,2009,41.4241623275672,,,-5.91852507634947,12285.3784651865,43.8,8.645
ARG,YR2008,Argentina,2008,36.7967786223547,,,4.05723310346406,13197.3570267029,45.0,7.837
ARG,YR2007,Argentina,2007,43.1501917496034,,,9.00765087504757,12811.9021206578,46.3,8.47
ARG,YR2006,Argentina,2006,52.8779757006235,,,8.04715150043027,11870.2791559298,46.4,10.078
ARG,YR2005,Argentina,2005,74.2469415660219,,,8.85165992013437,11099.7509190602,47.8,11.506
ARG,YR2004,Argentina,2004,114.783966038451,,,9.02957330068152,10302.4465316428,48.5,13.522
ARG,YR2003,Argentina,2003,133.474955613907,,,8.83704079576924,9545.53194119994,51.0,15.36
ARG,YR2002,Argentina,2002,159.890183546743,,,-10.8944848285903,8861.56199282278,53.8,19.59
ARG,YR2001,Argentina,2001,58.4932935172091,,,-4.40883968258557,10051.9448463043,53.3,17.32
ARG,YR2000,Argentina,2000,54.2417099417586,,,-0.78899893905691,10631.6503639029,51.0,15.0
ARG,YR1999,Argentina,1999,55.0294127610094,,,-3.38545704063269,10838.3199346387,49.8,14.05
ARG,YR1998,Argentina,1998,48.5365413234134,,,3.85017885156228,11348.2022124673,50.7,12.65
ARG,YR1997,Argentina,1997,44.742849204167,,,8.1110467707457,11056.6881331002,49.1,14.82
ARG,YR1996,Argentina,1996,41.6825294657416,,,5.52668982715234,10352.1400002191,49.5,17.11
ARG,YR1995,Argentina,1995,38.9848417579252,,,-2.84520961057079,9934.10776139515,48.9,18.8
ARG,YR1994,Argentina,1994,29.5945044681267,,,5.83620070368526,10359.8927204871,45.9,11.76
ARG,YR1993,Argentina,1993,27.6719318453773,,,8.20697907221228,9920.67358582437,44.8,10.1
ARG,YR1992,Argentina,1992,30.556438109999,,,7.93729155643076,9293.18692251748,45.5,6.36
ARG,YR1991,Argentina,1991,35.7191930020236,,,9.13311056738961,8729.82318518892,46.8,5.44
ARG,YR1990,Argentina,1990,46.2282372006326,,,-2.46721377810472,8115.09386370753,,
ARG,YR1989,Argentina,1989,93.3424186174631,,,-7.15694965597953,8445.4100923428,,
ARG,YR1988,Argentina,1988,48.624407682908,,,-1.08993334133791,9236.80771302535,,
ARG,YR1987,Argentina,1987,56.5978653845906,,,2.70486882770558,9484.45876638052,45.3,
ARG,YR1986,Argentina,1986,52.1206260544949,,,6.15337706275693,9378.46866394349,42.8,
ARG,YR1985,Argentina,1985,61.3235788327673,,,-5.18902435343904,8973.31874865813,,
ARG,YR1984,Argentina,1984,44.2541572106747,,,1.57073870182023,9614.44726215357,,
ARG,YR1983,Argentina,1983,47.0146805803112,,,4.34909327926756,9617.7000569575,,
